12/27 1:00 ET,At Kansas City,-11.5,Cleveland,42.5,2015,16
12/27 1:00 ET,At Miami,-2.5,Indianapolis,44,2015,16
12/27 1:00 ET,New England,-2.5,At NY Jets,45.5,2015,16
12/27 1:00 ET,Houston,-3.5,At Tennessee,39,2015,16
12/27 4:25 ET,At Arizona,-6,Green Bay,50.5,2015,16
12/27 4:25 ET,At Seattle,-11,St. Louis,42,2015,16
12/27 1:00 ET,Pittsburgh,-11.5,At Baltimore,47.5,2015,16
12/28 8:30 ET,At Denver,-4,Cincinnati,39,2015,16
1/3 1:00 ET,NY Jets,-3,At Buffalo,41,2015,17
1/3 4:25 ET,At Carolina,-10,Tampa Bay,45,2015,17
1/3 1:00 ET,New England,-10,At Miami,46.5,2015,17
1/3 1:00 ET,At Cincinnati,-9.5,Baltimore,41,2015,17
1/3 1:00 ET,At Atlanta,-6,New Orleans,53.5,2015,17
1/3 1:00 ET,At Houston,-6,Jacksonville,45,2015,17
1/3 1:00 ET,Pittsburgh,-13,At Cleveland,47,2015,17
1/3 4:25 ET,At Kansas City,-6.5,Oakland,43.5,2015,17
1/3 1:00 ET,At Indianapolis,-4,Tennessee,39,2015,17
1/3 1:00 ET,At Dallas,-3,Washington,41,2015,17
1/3 1:00 ET,Detroit,-2.5,At Chicago,45,2015,17
1/3 1:00 ET,At NY Giants,-3.5,Philadelphia,51,2015,17
1/3 8:30 ET,At Green Bay,-3,Minnesota,44,2015,17
1/3 4:25 ET,At Denver,-10,San Diego,42,2015,17
1/3 4:25 ET,St. Louis,-3,At San Francisco,38.5,2015,17
1/3 4:25 ET,At Arizona,-6,Seattle,47,2015,17
